Country,ProceedingType1,Court1,ProceedingType2,Court2,ProceedingType3,Court3
Albania,For all Article 6 complaints,the Constitutional Court (Gjykata Kushtetuese),For all other complaints under the Convention,the Supreme Court (Gjykata e Larte),,
Andorra,For all proceedings (civil / criminal / administrative),the Constitutional Court (Tribunal Constitucional),,,,
Armenia,For civil and administrative proceedings,the Civil and Administrative Chamber of the Court of Cassation (ՀՀ վճռաբեկ դատարանի քաղաքացիական և վարչական պալատ),For criminal proceedings,the Criminal Chamber of the Court of Cassation (ՀՀ վճռաբեկ դատարանի քրեական պալատ),,
Austria,For civil/criminal proceedings,the Supreme Court (Oberster Gerichtshof),For administrative proceedings,the Constitutional Court and/or Administrative Court (Verfassungsgerichtshof und/oder Verwaltungsgerichtshof),,
Azerbaijan,For all proceedings (civil / criminal / administrative),the Supreme Court (Azərbaycan Respublikası Ali Məhkəməsi),,,,
Belgium,For civil/criminal proceedings,the Court of Cassation (Hof van Cassatie / Cour de cassation / Kassationshof),For administrative proceedings,the Conseil d'Etat / Raad van State / Staatsrat,,
Bosnia and Herzegovina,For all proceedings (civil / criminal / administrative),the Constitutional Court (Ustavni sud Bosne i Hercegovine),,,,
Bulgaria,For civil/criminal proceedings,the Supreme Court of Cassation (Върховен касационен съд),For administrative proceedings,the Supreme Administrative Court (Върховен административен съд),,
Croatia,For all proceedings (civil / criminal / administrative),the Constitutional Court (Ustavni Sud Republike Hrvatske),,,,
Cyprus,For all proceedings (civil / criminal / administrative),the Supreme Court (Ανώτατο Δικαστήριο),,,,
Czech Republic,For all proceedings (civil / criminal / administrative),the Constitutional Court (Ústavní soud),,,,
Denmark,For all proceedings (civil / criminal / administrative),the Supreme Court (Højesteret),,,,
Estonia,For all proceedings (civil / criminal / administrative),the Supreme Court (Riigikohus),,,,
Finland,For civil/criminal proceedings,the Supreme Court (Korkein oikeus),For administrative proceedings,the Supreme Administrative Court (Korkein hallinto-oikeus),,
France,For civil / criminal proceedings,the Court of Cassation (Cour de Cassation),For administrative proceedings,the Conseil d'Etat,,
Georgia,For all proceedings (civil / criminal / administrative),the Supreme Court (საქართველოს უზენაესი სასამართლო),,,,
Germany,For all proceedings (civil / criminal / administrative),the Federal Constitutional Court (Bundesverfassungsgericht),,,,
Greece,For civil / criminal proceedings,the Court of Cassation (Αρειος Πάγος),For administrative proceedings,the Supreme Administrative Court (Συμβούλιο της Επικρατείας),,
Hungary,For all proceedings (civil / criminal / administrative),the Supreme Court (Legfelsőbb Bíróság),,,,
Iceland,For all proceedings (civil / criminal / administrative),the Supreme Court (Hæstiréttur),,,,
Ireland,For all proceedings (civil / criminal / administrative),the Supreme Court (An Chúirt Uachtarach),,,,
Italy,For civil / criminal proceedings,the Court of Cassation (Corte di Cassazione),For administrative proceedings,the Consiglio di Stato,,
Latvia,For all proceedings (civil / criminal / administrative),the Senate of the Supreme Court (Augstākās tiesas Senāts),,,,
Liechtenstein,For all proceedings (civil / criminal / administrative),the Constitutional Court (Staatsgerichtshof),,,,
Lithuania,For civil / criminal proceedings,the Supreme Court (Lietuvos Aukščiausiasis Teismas),For administrative proceedings,the Supreme Administrative Court (Lietuvos Vyriausiasis Administracinis Teismas),,
Luxembourg,For civil / criminal proceedings,the Court of Cassation (Cour de cassation),For administrative proceedings,the Administrative Court (Cour administrative),,
Malta,For civil proceedings,the Civil Court (First Hall) in its Constitutional Jurisdiction,For criminal proceedings,the Constitutional Court,,
Moldova,For all proceedings (civil / criminal / administrative),the Supreme Court of Justice (Curtea Supremă de Justiţie),,,,
Monaco,For civil / criminal proceedings,the Review Court (Cour de révision),For administrative proceedings,the Supreme Court (Tribunal suprême),,
Montenegro,For all proceedings (civil / criminal / administrative),the Supreme Court (Viši sud ili Vrhovni sud),,,,
Netherlands,For civil / criminal proceedings,the Supreme Court (Hoge Raad),For administrative proceedings,the Raad van State,,
North Macedonia,For civil / criminal proceedings,the Supreme Court (Врховен суд),For administrative proceedings,the Administrative Court (Управен суд),,
Norway,For all proceedings (civil / criminal / administrative),the Supreme Court (Norges Høyesterett),,,,
Poland,For civil / criminal proceedings,the Supreme Court (Sąd Najwyższy),For administrative proceedings,the Supreme Administrative Court (Naczelny Sąd Administracyjny),,
Portugal,For civil / criminal proceedings,the Supreme Court (Supremo Tribunal de Justiçal) or the Constitutional Court (Tribunal Constitucional),For administrative proceedings,the Supreme Administrative Court (Supremo Tribunal Administrativo),,
Romania,For all proceedings (civil / criminal / administrative),the High Court of Cassation and Justice (Înalta Curte de Casaţie şi Justiţie,,,,
Russian Federation,For all proceedings (civil / criminal / administrative),the Regional Court or the Supreme Court (Областной Суд или Верховный Суд),,,,
San Marino,For civil proceedings,the Civil Appeals Judge (Giudice delle Appellazioni Civili),For criminal proceedings,the Criminal Appeals Judge (Giudice delle Appellazioni Penali),For administrative proceedings,the Administrative Appeals Judge (Giudice Amministrativo d’Appello)
Serbia,For all proceedings (civil / criminal / administrative),the Constitutional Court (Ustavni sud Srbije),,,,
Slovak Republic,For all proceedings (civil / criminal / administrative),the Supreme Court (Najvyšší súd),,,,
Slovenia,For all proceedings (civil / criminal / administrative),the Constitutional Court (Ustavno sodišče),,,,
Spain,For all proceedings (civil / criminal / administrative),the Constitutional Court (Tribunal Constitucional),,,,
Sweden,For civil / criminal proceedings,the Supreme Court (Högsta domstolen),For administrative proceedings,the Supreme Administrative Court (Högsta förvaltningsdomstolen),,
Switzerland,For all proceedings (civil / criminal / administrative),the Federal Court (Tribunal fédéral / Bundesgericht / Tribunale federale),,,,
Turkey,For civil / criminal proceedings,the Court of Cassation (Yargıtay),For administrative proceedings,the Supreme Administrative Court (Danıştay),,
Ukraine,For civil / criminal proceedings,the Higher Specialised Civil and Criminal Court (Вищий спеціалізований суд України з розгляду цивільних та кримінальних справ),For administrative proceedings,the Higher Administrative Court (Вищий адміністративний суд України),For commercial proceedings,the Higher Commercial Court (Вищий господарський суд України)
United Kingdom,For all proceedings (civil / criminal / administrative),the Supreme Court,,,,
