Country,Ratification date
ALB - Albania,1996-10-02
AND - Andorra,1996-01-22
ARM - Armenia,2002-04-26
AUT - Austria,1958-09-03
AZE - Azerbaijan,2002-04-15
BEL - Belgium,1955-06-14
BIH - Bosnia and Herzegovina,2002-07-12
BGR - Bulgaria,1992-09-07
HRV - Croatia,1997-11-05
CYP - Cyprus,1962-10-06
CZE - Czech Republic,1992-03-18
DNK - Denmark,1953-04-13
EST - Estonia,1996-04-16
FIN - Finland,1990-05-10
FRA - France,1974-05-03
GEO - Georgia,1999-05-20
DEU - Germany,1952-12-05
GRC - Greece,1974-11-28
HUN - Hungary,1992-11-05
ISL - Iceland,1953-06-29
IRL - Ireland,1953-02-25
ITA - Italy,1955-10-26
LVA - Latvia,1997-06-27
LIE - Liechtenstein,1982-09-08
LTU - Lithuania,1995-06-20
LUX - Luxembourg,1953-09-03
MLT - Malta,1967-01-23
MCO - Monaco,2005-11-30
MNE - Montenegro,2004-03-03
NLD - Netherlands,1954-08-31
MKD - North Macedonia,1997-04-10
NOR - Norway,1952-01-15
POL - Poland,1993-01-19
PRT - Portugal,1978-11-09
MDA - Republic of Moldova,1997-09-12
ROU - Romania,1994-06-20
RUS - Russian Federation,1998-05-05
SMR - San Marino,1989-03-22
SRB - Serbia,2004-03-03
SVK - Slovak Republic,1992-03-18
SVN - Slovenia,1994-06-28
ESP - Spain,1979-10-04
SWE - Sweden,1952-02-04
CHE - Switzerland,1974-11-28
TUR - Turkey,1954-05-18
UKR - Ukraine,1997-09-11
GBR - United Kingdom,1951-03-08
